,Embedded_text,dialect
96,"Replying to 
@hmad95907
 and 
@jaber_alyami
هههههههههههههه",S
97,"Replying to 
@messi14161
 and 
@balshan5959
ههههههه  اي والله الي هارويحاه",S
98,"Replying to 
@fta___yam
كن  خليتها نشوف  دام ماصورتك  فزين ",S
99,"Replying to 
@fta___yam
ههههههههه",S
100,"Replying to 
@fta___yam
وعادها مكسره ضلوعها ولانت تشوف خصر  ويش دعوه   من حقوها دقيق قلتو مكسره ضلوعها بعضهم من خلقت ربي
1",S
101,"Replying to 
@dhomebara
ههههههههههه",S
102,"Replying to 
@MQ_2020
صعبه  دور غيرها هههههههه
1",S
103,"Replying to 
@MQ_2020
هههههههه وانت طيب يابني كذبه 
1",S
104,"Replying to 
@aabo_haitham
هههههههه لاباس
1",S
105,"Replying to 
@rili170
بتلقينها في غابة سقام جربيها
1
1",S
106,"Replying to 
@messi14161
ماحولنا الا الغبار قد بنحرم
1",S
107,"Replying to 
@e9VtFvpx1oLFsyb
 @hi47742706
 and 
@hmad95907
من عاب ابتلى  الخطآ وارد احيان وانا اشوف كل الجيل ذا املاءهم ضعيف الجيل الاول افضل   ذلحين جامعات وعندهم اغلاط املائيه  فادحه بعد  والخط  شين   وان سالته من خط الرقعه والنصخ مادرا ايش انت تقول  ولايعرفون شمال ولا جنوب  يفتح الله",S
108,"Replying to 
@hmad95907
ههههههههههههه",S
109,"Replying to 
@wm8866
 @wm866
 and 
@1414HH000
عاد فيه كذوب ماطلعتها 
1
1",S
110,"Replying to 
@balshan5959
هههههههههههههه",S
111,"Replying to 
@hmad95907
ههههههههههه",S
112,"Replying to 
@hmad95907
الحياسيه 
1",S
113,"2
10",S
114,"Replying to 
@xkc71
 and 
@h071_
فهد او فيصل تركي  محمد",S
115,"Replying to 
@mxm2266221
بس خطير سعبهم ويتبارون ماشاء الله
1",S
116,"Replying to 
@mxm2266221
ههههههههههههمنين  جايبهم شكلهم من عصر الزير  سالم راعي الجنبيه حاله خاصه 
1",S
117,"Replying to 
@hmad95907
 and 
@BINALYAME
هههههههههههههه",S
118,"Replying to 
@hmad95907
 and 
@BINALYAME
بشبح لك مع غراني
1",S
119,"Replying to 
@hmad95907
 and 
@BINALYAME
هههههههههههههههههههه",S
120,"Replying to 
@Dlz6as",S
121,"Replying to 
@hmad95907
 and 
@5absh911
ههههههههههههههه
1",S
122,"Replying to 
@Hamadd1223
 and 
@NajranToday
هههههههههه  هابطيتي عظم  عزالله واثقه 
1",S
123,"Replying to 
@balshan5959
صح عليك ",S
124,"Replying to 
@hmad95907
انشهدد ",S
125,مجرد ذوق,S
126,صح,S
127,"Replying to 
@ie7_k6
 and 
@ra2012771
انشهد حتى رقصها 
1",S
128,"صصباح الخيير 
2
6
21",S
129,"Replying to 
@60aa90
1
1",S
130,"Replying to 
@FozOtb1",S
131,"Replying to 
@Midwakh_
  مابه شي  نتسمع لصفار اليل",S
132,"Replying to 
@fbe9090
منظر جميل
1",S
133,"Replying to 
@RWcdg
 and 
@hmad95907
1",S
134,"Replying to 
@saadbelal55
مابدور لحاجه والله  
1
1",S
135,"Replying to 
@hmad95907
والله ماعلى الدلخ حسوفه 
2",S
136,"Replying to 
@hmad95907
 @xxji1234
 and 
@__warda__7
اول مره اسمع الدعوه لكن مقبوله 
1",S
137,"Replying to 
@o330y
هههههههههههههههههههههههههههههههههههههههههههههه    هههههههههههههههههههههه   ",S
138,"Replying to 
@balshan5959
سعبهم خطير بس نعى وجهي  لهم بتجيهم حمى من السعب وهم حافين ",S
139,"Replying to 
@moh33id
 جعله ماعاد ينفع
1",S
140,"حلوه  في كل الحالات  مزيونه 
1",S
141,مدري,S
142,"Replying to 
@heand___
بالنسبه لي ماحب  اللي  يطول  شعره   كذا مجرد ذوق  خاصه الي زي  ذولا  اللي في المقطع",S
143,"Replying to 
@rkn__5
 and 
@Tofez1
بعض الطول  يخلع
1
1",S
144,"Replying to 
@ass_eerr
لاتعليق
1",S
145,"Replying to 
@Tofez1
 and 
@rkn__5
ايشذا المخلقه
1
1",S
146,"Replying to 
@maha88400
المفروض تمسك الدله باليسار   بس ذوق
1",S
147,"Replying to 
@IiSblf
 and 
@__M4_M4
1",S
148,"Replying to 
@ass_eerr
اي تصرفات   هذا سعب    ومن خيرة السعب بعد
1",S
149,"Replying to 
@IiSblf
 and 
@__M4_M4
والله  ودش ل ذي نجابه تجي تساعدني  شوي ولا تكنس الجبال
1
1",S
150,هههههههههههههههه اوجعتني  عيوني,S
151,"Replying to 
@ff_stuzp
الله ينصرهم ويقوم معهم
1
1",S
152,"Replying to 
@MTM5050
ايش دعوه تدفع نص ثروتك   مدراني مافي الرصيد الا  ٥٠ ريال
1
2",S
153,"Replying to 
@MTM5050
شجرة التين ولها اسم ثاني بلسه
1",S
154,"Replying to 
@60aa90
1
1",S
155,"ابو  الشعر  ذا سعبه خطير بس لما شفت مقاطعه اضحك
13
11
68",S
156,"1
1
16",S
157,"انشهد 
3
7
33",S
158,"Replying to 
@hmad95907
ايوه   الصوره فخمه
1",S
159,"Replying to 
@hmad95907
حلو قطوف حلوه بشكل عام  بس  غالين  شوي
1",S
160,"Replying to 
@hmad95907
بنكهة ايش    ماني احب الكوكيز جدا
1",S
161,"Replying to 
@i69az1
1",S
162,"Replying to 
@aabo_haitham
اهم شي طاح معها  مالت عليه وع جوه 
1
1",S
163,"Replying to 
@aabo_haitham
1",S
164,"Replying to 
@hmad95907
ودك دام مافيه تطور بلاش من التحديث
1",S
165,"Replying to 
@hmad95907
تحديث  غصبى    مابعد تحدث عندي   قل رجعوه زي اول",S
166,"Replying to 
@hmad95907
ماهو براجع ي ليث",S
167,"Replying to 
@ff_stuzp
 and 
@haalim___888
كن قده بيعشيها ولا مصري   كحتوت 
1
1",S
168,"Replying to 
@hmad95907
هههههههههههه تعيش وتاكل غيرها ",S
169,"Replying to 
@hmad95907
سلامتك  
1",S
170,"Replying to 
@ali56000
لو تسترت كن اطلعت احلى
1",S
171,"Replying to 
@haalim___888
هههههههههه والله اقدت
2",S
172,"Replying to 
@Abu_Mishal_2_",S
173,"Replying to 
@24hassa1
يبارك فيك ",S
174,"Replying to 
@Khalid45u1
1",S
175,"Replying to 
@nai56f1",S
176,"Replying to 
@nai56f1
قدهي بتكلسكم  وتفتحرون 
1",S
177,"Replying to 
@nai56f1
الله يبارك فيك قست ضغطك اليوم 
1",S
178,"Replying to 
@al__naif
 and 
@altrgaa
ههههههههه",S
179,"Replying to 
@60aa90
صح
1
1",S
180,"Replying to 
@60aa90
ماحبها  كذا   تستفزني    هي والي يغنيها
1
1",S
181,"Replying to 
@NzfYam
الله ",S
182,الله يبارك فيك,S
183,"Replying to 
@maha88400
ذوق ",S
184,"Replying to 
@Tareqalkhklify
الله يبارك فيك 
1",S
185,"Replying to 
@60aa90
مكرهني لذا الاغنيه
1
2",S
186,"Replying to 
@ff_stuzp
يقصدش    اختلعهنت شكلك لا ولدي  يغنيها لخته ولا منهم شين بس يطقطق",S
187,"Replying to 
@ff_stuzp
ولاشي مابه علوم",S
188,"Replying to 
@ff_stuzp
للاه ماشوعك تذكرت هنا واحد يقولها 
4
1",S
189,"Replying to 
@Kaled919
 @Khaledmo111
 and 
@momentsmena
بس اساسهم  من  ؟
1",S
190,"Replying to 
@hmad95907
تناقض حاد جدا
1",S
191,"Replying to 
@ff_stuzp
بيجي خير
1",S
192,"Replying to 
@ff_stuzp
غيم بس",S
193,"Replying to 
@hmad95907
مالك لوا ",S
194,"Replying to 
@Dana___1111
2",S
195,"Replying to 
@Rsael_2
ي الله حسن الخواتم ",S
196,"Replying to 
@hmad95907
شكلي جبت العيد  وانا بلا امزح 
1",S
197,"Replying to 
@hmad95907
ماتو الطيبين من اللي عاده يسافر للمغرب  وبعدين لنتو عشان حريمهم ع قولت الناس  قدهم يجون  خدم   ماتعجبني الديره ذيك ☻
1",S
198,"Replying to 
@haalim___888
بعطيك جوك ع الاستهبال  طيب افضل اخليها فاضيه يخف الوجع ",S
199,"الجو عليل 
2
8",S
200,"Replying to 
@ali56000
ههههههههههههه دوم
1
1",S
201,"Replying to 
@ali56000
 اهم شي  الاخلاق والاسلوب الزين اخر شي
1
1",S
202,"Replying to 
@ali11yah1
1",S
203,"Replying to 
@9633_az
مرورك 
1",S
204,"كل زين يسلم علينا  مساكم سعيد  جميعا .
5
4
30",S
205,This is better,S
206,من وجهة نظرك انت  هياط,S
207,"Replying to 
@A___g06
 @mostq11
 and 
@mane03220907
لا والله م عندي  انتقاد ولاشي  بالعكس  حلوه كلها",S
208,"Replying to 
@A___g06
 @mostq11
 and 
@mane03220907
كشخه وكلن طنين صوته يعجبه ☻
1
1",S
209,"Replying to 
@al____ma
 and 
@O_O__mm",S
210,"Replying to 
@mostq11
 and 
@mane03220907
هههههههههه م عليه اخلاف
2",S
211,"Replying to 
@al_syliam
1
1",S
212,"Replying to 
@Di__2ii",S
213,"Replying to 
@al_syliam
عصيدة بر  ع مرضوفه
1
1
1",S
214,"Replying to 
@nai56f1
والله ماعرفه      لقيته في الانستا",S
215,"مسسء الخير ثم بعد
اجازه سعيده 
10
9
51",S
216,"Replying to 
@hmad95907
يفقع اللوز",S
217,"Replying to 
@hmad95907
بس ويش طلعو جيل صح انت وذا الاجيال المدلعه ماتدري الصبي  من البنت
1",S
218,"Replying to 
@hmad95907
كبر المركى وكب الحب
1
1",S
219,"Replying to 
@ZAREEF9_9
 والله م عندها تضحك وهو الله  يقرفه مجسرهم 
1",S
220,"Replying to 
@3xwNkQuMsPaicVr
خلاص رح انقلع
1",S
221,"Replying to 
@3xwNkQuMsPaicVr
شلوك  اما ذلحين بلوك
1",S
222,"Replying to 
@3xwNkQuMsPaicVr
لاتحكي خاص ولا عام حبتك الحيه هافارقني قدام ابلكك  يذا الخبل
1",S
223,"Replying to 
@3xwNkQuMsPaicVr
رح ارقد  نفداك  حبتك العافيه 
1",S
224,"خروج الآن 
تصبحون ع خير 
 
1
1
5",S
225,"ولا عادك تمر بأي طاري !
ولا عندي فضول أعرف جديدك .
2
1
10",S
226,"Replying to 
@ff_stuzp
من ذوقك 
1
1",S
227,"Replying to 
@ff_stuzp
شكلك فاتح حسابك وناصدني  طوالي  فاضي لطقطقه",S
228,"Replying to 
@ff_stuzp
☻",S
229,"Replying to 
@ff_stuzp
قل والله   مابه حد  مشرع بابه  بلا ذوق
1
1",S
230,"Replying to 
@ff_stuzp
ي وجه الله
1",S
231,"Replying to 
@ff_stuzp
طيب لادقق   خلها تعدي
2",S
232,"Replying to 
@ff_stuzp
ليه انا حاطتها لك  مثلا
1
1",S
233,"Replying to 
@ajf2000
نحمد الله
1",S
234,"Replying to 
@3xwNkQuMsPaicVr
مدري من وين طالع اي انت
1",S
235,"Replying to 
@3xwNkQuMsPaicVr
هلا 
1",S
236,"Replying to 
@ali56000",S
237,"Replying to 
@3xwNkQuMsPaicVr
1",S
238,"Replying to 
@alteemawy1
كلن له وجهة نظر ",S
239,"Replying to 
@ff_stuzp
ههههههههههه 
1
1",S
240,ههههههههههههه,S
241,"لولا الرجال لأغلق بائع الورد دكّانه ٠
13
8
59",S
242,"حتى لو بابك مشرّع أنا ماعاد لي جيه .
2
2
8",S
243,"Replying to 
@saadbelal55
حن نسبقكم في التوقيت بدقايق
1",S
244,"Replying to 
@saadbelal55
لا والله انت في ديره وحن في الثانيه  انا في السعويه بلدي الحبيب
1
2",S
245,"Replying to 
@i5PsrXccuM4Hm8B
ماحبكم للهيلمه خلاص  فهمت ",S
246,"Replying to 
@alyami_HM
مع نفسك",S
247,"Replying to 
@zj2fk
ههههههههههه
1",S
248,"Replying to 
@9633_az
مشكور",S
249,وين انت,S
250,"Replying to 
@ali56000
مشكور 
1
2",S
251,"متى يذن الفجر  بالضبط 
10
6",S
252,"Replying to 
@al__naif
 and 
@altrgaa
1",S
253,"Replying to 
@Hilali058",S
254,"Replying to 
@ajf2000
ههههههههههههههه",S
255,"Replying to 
@hmad95907
هههههههههههههههههه",S
256,"Replying to 
@Hamadd1223
مخمول قام يتطمس كنه بالعاني
1",S
257,"مساء الفخامه 
4
17",S
258,"Replying to 
@hmad95907
اهم شي التاوه    لاتضيع 
1",S
259,"جعلك ماعاد تصور استفزني وانا مالي حاجه 
14
6
24",S
260,"Replying to 
@hmad95907
هههههههههههه ايش انت شارب  
1",S
261,"Replying to 
@saleh_almansor
 and 
@hmad95907
هههههههههههه ان شاء مايجيك شر بلا يمزح
1",S
262,"Replying to 
@hmad95907
1",S
263,"Replying to 
@hmad95907
☻☻  خلها ع راسه الحاله اش ذنب هل بيته  
1",S
264,"Replying to 
@ra2012771
ماله داعي الاستعراض والثقه جسمها  مرصوص ع بعض  ",S
265,"Replying to 
@hmad95907",S
266,"Replying to 
@hmad95907
صباح النور 
1",S
267,"Replying to 
@haalim___888
الله يحسن خواتمنا جميعا والموت حق بس اقول لك",S
268,"Replying to 
@haalim___888
لا والله ماحد له بالموت   تحت لمبة العمليات   بلا زين بلا هم
1
1",S
269,"Replying to 
@ie7_k6
ههههههههههههه  حلوا",S
270,"Replying to 
@ZfMlt
انا  خاصه لما اكون  مستعجله  وعند الذهب بالذات لما يتخلبص 
2",S
271,"Replying to 
@mxm2266221
الله  يرحمه ويلهم هله الصبر
1
1",S
272,"Replying to 
@_sm0123456
1",S
273,"Replying to 
@hmad95907",S
274,"Replying to 
@hmad95907
هههههههههههههه ولا يسلك لها   تنسى منه  
1",S
275,"Replying to 
@haalim___888
 and 
@salem44935219
شكلهم  الاردن   تذكرت مسلسلاتهم البدويه  والله لاصفرا ولا زرقاء  
1",S
276,"Replying to 
@hmad95907
هههههههههههههههه انه الصدق",S
277,"Replying to 
@hmad95907
كذعندك كلهم وياربي يفلحون
1",S
278,"Replying to 
@o330y
1",S
279,"Replying to 
@o330y
تو الناس   توك ترد  نسيت والله ولاعادك قمت ذلحين
1",S
280,"Replying to 
@ff_stuzp
1",S
281,"Replying to 
@ff_stuzp
المحاوره والبنت  حلوه
1
1",S
282,"Replying to 
@ff_stuzp
جميله
1
1",S
283,"Replying to 
@ff_stuzp
تسلم 
1",S
284,"Replying to 
@sara_Alain77
1",S
285,"Replying to 
@fta___yam
تسلم 
1",S
286,"Replying to 
@fta___yam
هههههههههههههههه
1",S
287,"Replying to 
@ZfMlt
ليت جونا يجي كذا  
1
1",S
288,"Replying to 
@saloom78877
 and 
@hmad95907
العسل *",S
289,"Replying to 
@fta___yam
1",S
290,"Replying to 
@saloom78877
 and 
@hmad95907
ويش عاد ازن من السمن والعس في مهسة بر  ع  قولك احسن شي زاد صحي 
1",S
291,"Replying to 
@Yam0990
 and 
@fta___yam
تصبح ع خير
1",S
292,"Replying to 
@Yam0990
 and 
@fta___yam
هههههههههههههههههههه معتوه  اما هو
1",S
293,"Replying to 
@Yam0990
 and 
@fta___yam
اما النفس فحاله خاصه   ماندلع السنع فيدل غيره
1",S
294,"Replying to 
@Yam0990
 and 
@fta___yam
ويمكن زي ماقلت   دايم  اسمعه يقول   اللي ضدي وضد النجاح
1",S
295,"Replying to 
@Yam0990
 and 
@fta___yam
شكل العرب اللي مشجعينهم لو احد ينصحه يكب القصيد  والاغاني
1",S
296,"Replying to 
@Yam0990
 and 
@fta___yam
ههههههههههههههههه من حدرا
2",S
297,"Replying to 
@Yam0990
 and 
@fta___yam
المهم اللي هو    المشكله مصدقين اعمارهم انهم شعار   لازم  يقدمون في شاعر المليون عشان تجيهم طرده محترمه
1",S
298,"Replying to 
@Yam0990
 and 
@fta___yam
الظاهر  قصده  الجبال قال الجبيليه يبى يزبط القافيه 
1",S
299,"Replying to 
@Yam0990
 and 
@fta___yam
انت ميد الجف ع بالي ميد  ابو رميحان
1",S
300,"Replying to 
@Yam0990
 and 
@fta___yam
منين جايبه انت ذا الكلمه
1",S
301,"Replying to 
@fta___yam
ههههههههههههههههه
1",S
302,"Replying to 
@hmad95907
الله يطعني ",S
303,"Replying to 
@hmad95907
ههههههههههههههههههه خلاص اختار انا ولا الكنافتين الي   قلهنت
1",S
304,"Replying to 
@hmad95907
بطلنا ناكل كنافه
2",S
305,"Replying to 
@affa3456
بلا يكذب  م كلها
1",S
306,"Replying to 
@affa3456
هههههههههه لذيذه
1",S
307,"Replying to 
@moh33id
هههههههههههههه حليله
1",S
308,"Replying to 
@al__naif
 and 
@bo7700
الله  يصيبه
1",S
309,"Replying to 
@hmad95907",S
310,"Replying to 
@Con_110
انشهد",S
311,"Replying to 
@ZAREEF9_9",S
312,"Replying to 
@ff_stuzp
الجهر
1",S
313,"Replying to 
@hmad95907",S
314,"Replying to 
@al__naif
 and 
@bo7700
1",S
315,ههههههههههه كنه بعض العرب,S
316,"Replying to 
@Hamadd1223
 @bo7700
 and 
@l_sraab
م كنك بالغهنت شوي
1
1",S
317,"Replying to 
@hmad95907",S
318,"Replying to 
@hmad95907
ظني انك تبى لك كيه   ع  راسك تصحى 
1",S
319,"Replying to 
@ie7_k6
الاخيره اليمه",S
320,"Replying to 
@haalim___888
قصدك انتحال عوينهم  اهم شي القلب والاخلاق
1",S
321,"Replying to 
@haalim___888
ههههههههههههههههههه   ع كذا ظلم انتحال الشخصيه
1",S
322,"Replying to 
@fta___yam
الله يبقيك اخبارك انت اشحالك وحال بنتك  انت الي متغيب
1",S
323,"Replying to 
@fta___yam
وياك",S
324,"Replying to 
@fta___yam
عوين الدب مظلوم في كل مكان 
2
1",S
325,"Replying to 
@Hamadd1223
1",S
326,"Replying to 
@RWcdg
 and 
@hmad95907
عايديه والله وعادها قطمى  
1",S
327,"Replying to 
@hmad95907
ايشذا الذوق عندك   غير شف رقبتها كنها صبع  تو ذا الوجه  
1",S
328,"Replying to 
@nai56f1
 and 
@hmad95907
شكل الشيبه غار 
1",S
329,"Replying to 
@nai56f1
 and 
@hmad95907
يالهفي ",S
330,"Replying to 
@hmad95907
مافهمت اشهو يقول
1",S
331,"Replying to 
@hmad95907",S
332,"Replying to 
@al__naif
 @bo7700
 and 
@abrar__17
عوينها تحب تكشخ
1
2",S
333,"Replying to 
@al__naif
 @bo7700
 and 
@abrar__17
هههههههههههه  احس ان الصوره  منشوره دون علمها حرام  يدها زي يد امي  وامي في ال ٦٠ بس يد امي صغيره وبدون اظافر  ذي اظافرها اوفر
1
3",S
334,"Replying to 
@hmad95907
ههههههههههههههه  انشهد",S
335,"Replying to 
@3GNCWpNYn8S12WK
 @hmad95907
 and 
@bo7700
ودي اعرف صدق",S
336,"Replying to 
@3GNCWpNYn8S12WK
 @hmad95907
 and 
@bo7700
ايش سالفة المنشن
1",S
337,"Replying to 
@ii_kk9
الباندا ذا يبى له غسيل خاص  ",S
338,"Replying to 
@ord__7
 and 
@mlak_xxm
اقصد جاكيتها 
1
1",S
339,"Replying to 
@mlak_xxm
ماصدقت السالفه العين حق وقميصها من زينه كنه قميص مصارع
3
1",S
340,"Replying to 
@ssss6660000",S
341,"Replying to 
@affa3456
الله يرحمنا برحمته
1",S
342,"Replying to 
@affa3456
اللهم امين
1",S
343,"Replying to 
@affa3456
ع حسب ماسمعنا   عند محل عصير سيجنتشر الجديد   مدري ايش هم  يحسون فيه
1",S
344,"اهم شي ازن ازن ازن منيش 
2
1",S
345,"Replying to 
@J6ujpz4sm5j94c0
والله بلا شفايف اتحرك  مع الخيل ي شقرا
1
1",S
346,"Replying to 
@AazzehMaa",S
347,"أثر الحكي خوان وحروفنا وجله .
1
6
37",S
348,"Replying to 
@60aa90
هههههههههههه
1",S
349,"Replying to 
@ff_stuzp
عزالله ",S
350,"Replying to 
@ff_stuzp
عوينه  لاتدعى 
1",S
351,"Replying to 
@60aa90
هههههههههههههههههه مالومك قده قصيد ماهي بدعاوي شكله غبنه
1
1",S
352,"Replying to 
@60aa90
مرورك 
1",S
353,"Replying to 
@hl______t8
 and 
@bh__98",S
354,"Replying to 
@iigashii22",S
355,"Replying to 
@KSA2O3O0
الله يرحمه ويغفر له ",S
356,"Replying to 
@hmad95907
مدري ايش سالفة الغران مع الطحين
1",S
357,"Replying to 
@hmad95907
1",S
358,"Replying to 
@star443322111
1
1",S
359,"Replying to 
@mxm2266221
والله  صادق    زين سلمت
1
1",S
360,"Replying to 
@P1k57
0الله لايقوله",S
361,"Replying to 
@P1k57
8",S
362,"Replying to 
@ra9ra99
1",S
363,"Replying to 
@ff_stuzp
ههههههههههه تسلم    كل مقطع اشن من الثاني
1
1",S
364,"Replying to 
@4vvvn
ههههههههههههههه",S
365,"التايم اليله حالف يلوع تسبدي 
1
1
4",S
366,"Replying to 
@wpr_j
والله منين نبدا  حتى اللي يغني يجلطها 
3",S
367,"Replying to 
@9633_az
 @mlak_xxm
 and 
@haalim___888
لا والله امزح 
1",S
368,"Replying to 
@mlak_xxm
 and 
@haalim___888
ماني  بميد حالم والله  ميد  اللي  يحلفها  
2",S
369,"Replying to 
@haalim___888
ولا بشن من وجها الا وجهك 
2",S
370,"Replying to 
@hmad95907
اهم شي ماتاخذك انت 
1",S
371,"Replying to 
@hmad95907
والله هي اللي عرفت تخطط لحياتها   تاخذ اللي وراه ودونه وبتهج
1
2",S
372,"Replying to 
@hmad95907
جعل امحق واسحق حب  مشن ذا الوجيه",S
373,"Replying to 
@rasb8558
 and 
@hmad95907",S
374,"Replying to 
@hmad95907
وقايل ",S
375,"ارحب  
@hmad95907
2
3",S
376,"Replying to 
@Tareqalkhklify
1
1",S
377,"Replying to 
@Tareqalkhklify
صباح الانوار 
1
1",S
378,"Replying to 
@Tareqalkhklify
هههههههههههههه
1
2",S
379,"Replying to 
@aabo_haitham
يوتش الموت رحمه 
1",S
380,"Replying to 
@Aleen_085
اللهم امين
1",S
381,"Replying to 
@Aleen_085
مافيه خير    م عليها يعوضونها عيالها وان مافيهم خير يلحقون ابيهم
1",S
382,"Replying to 
@ff_stuzp
☻☻",S
383,"Replying to 
@ff_stuzp
والله لو اني درام ماسويت تكميم انا  دقة الشوكه تبكيني 
1",S
384,"Replying to 
@ff_stuzp
ماهو بدايم  بس احبها ولو افك نفسي باكل كل ليله الصدق  
1
1",S
385,"Replying to 
@ff_stuzp
مالومها
1
1",S
386,"Replying to 
@haalim___888
الله يعينهم",S
387,"Replying to 
@RWcdg
 @bo7700
 and 
@mlak_xxm
ماندري ايش ظروفه
1",S
388,"Replying to 
@RWcdg
 @bo7700
 and 
@mlak_xxm
طقطقه",S
389,"Replying to 
@ff_stuzp
 @bo7700
 and 
@mlak_xxm
وياااك
1",S
390,"Replying to 
@ff_stuzp
 @bo7700
 and 
@mlak_xxm
مابه شي تهني عليه مجرد مثل
1
1",S
391,"Replying to 
@ff_stuzp
 @bo7700
 and 
@mlak_xxm
قديمك نديمك
2
1",S
392,"Replying to 
@ff_stuzp
 @bo7700
 and 
@mlak_xxm
ههههههههههههههههههههه
1
1",S
393,"Replying to 
@RWcdg
 @bo7700
 and 
@mlak_xxm
المشكله  انه تصعبت الحسابات  لازم  بريد موثق او رقم جوالك  واذا حذفتها ترجعها في خلال شهر بس  ولو فات  الوقت وبغيت تفتح حساب ثاني صعب  بيكون البريد والرقم متكرره مستحيل تدخل خاصه برنامج تويتر
1
1",S
394,"Replying to 
@al__naif
 @bo7700
 and 
@mlak_xxm
1
1",S
395,"Replying to 
@mlak_xxm
 and 
@bo7700
1",S
396,"Replying to 
@RWcdg
 @mlak_xxm
 and 
@bo7700
ميد بلشان
1",S
397,"Replying to 
@mlak_xxm
 and 
@bo7700
م عاد الا الله يستر عليه شكله خروج نهائي
3
1",S
398,"Replying to 
@RWcdg
 and 
@bo7700
لازم نحط ترند  له 
3
2",S
399,"Replying to 
@al__naif
 and 
@bo7700
ان شاء الله
1
1",S
400,"Replying to 
@RWcdg
 and 
@bo7700
والله م عاد احب ادخل تويتر جدا واذا دخلت احب اشوف حسابه   عفوي وتغريداته جميله
2
2",S
401,"Replying to 
@saleh_almansor
 and 
@bo7700
ليه  يقفلونه",S
402,"Replying to 
@al__naif
 @bo7700
 and 
@hmad95907
لبى قلبش كلش ذوق 
1
1",S
403,"Replying to 
@al__naif
 and 
@bo7700
ليث ماله ظهور
3
1",S
404,"Replying to 
@al__naif
 and 
@bo7700
في شي ناقص في التايم
2
1",S
405,"Replying to 
@hmad95907
 @mag6070
 and 5 others
ارحم من 8",S
406,"Replying to 
@hmad95907
 @mag6070
 and 5 others
6
1",S
407,"Replying to 
@hmad95907",S
408,"Replying to 
@hmad95907
شطب ع العشق وعش حياتك  
1",S
409,"مساء الخير
0:05
1,049 views
7
5
31",S
410,"Replying to 
@hmad95907",S
411,"Replying to 
@Dm__911
 @K1ExtDGTFL5Cja4
 and 
@ra9ra99
اللهم امين 
1
2",S
412,"Replying to 
@Dm__911
 @K1ExtDGTFL5Cja4
 and 
@ra9ra99
عوينه  مابعد فتحو حسابه  بنتمالا
1
1",S
413,"Replying to 
@ff_stuzp
ذوقك  الله يستر عليها",S
414,"Replying to 
@ff_stuzp
كلها ع بعضها    لاتعليق
1",S
415,"Replying to 
@Dm__911
 @K1ExtDGTFL5Cja4
 and 
@ra9ra99
الله لايقوله   م كن تعالجت عنده
1
1",S
416,"Replying to 
@moh33id
الله",S
417,"Replying to 
@moh33id
ابرك لك
1",S
418,"Replying to 
@haalim___888
مساء النور 
1",S
419,"Replying to 
@moh33id
قلب كبدها  وزد قام يطل مع الجدر مابعد بردت كبده  من الداويه اقدت فيه
1
1",S
420,"Replying to 
@haalim___888
الجهر",S
421,"Replying to 
@Dm__911
 @K1ExtDGTFL5Cja4
 and 
@ra9ra99
كيف معالج مافهمت
1
1",S
422,"Replying to 
@hmad95907
فرق ي قلبي  بين كلشي بفلوس والي يبى فلوس
1
1",S
423,"Replying to 
@ff_stuzp
افووووووه
1",S
424,"Replying to 
@05B__05
 and 
@hmad95907
خبل م كن قبلت ذاك لكون م عاد الاهو بس شكلها حقت فلوس
2
1",S
425,"Replying to 
@hmad95907
من زينها حتى هي
1
1",S
426,"Replying to 
@05B__05
 and 
@hmad95907
خلوه يروح يصف جنب عبدالله بالخير ذاك المصفي مابه طشة عقل  واحلام ماهي تبعد منهم لولا صوتها  بقطه
1
1",S
427,"Replying to 
@SpCKYfjqGB9QWhD
 and 
@hmad95907
وابيه",S
428,"Replying to 
@hmad95907
الله يخلف ع امه
3",S
429,,S
430,"Replying to 
@_is__is
 @haalim___888
 and 
@ra9ra99
بعد ذا كله لازم متابعيني يزيدون",S
431,"Replying to 
@05B__05
 @haalim___888
 and 
@ra9ra99
يفدونش اعداش ي روحي  مع نفسك 
1",S
432,"Replying to 
@9633_az
 @bo7700
 and 2 others
ههههههههههههههههههه مع انفسكم 
1
2",S
433,"Replying to 
@Rakan__u
 and 
@ra9ra99
1",S
434,"Replying to 
@Rakan__u
 and 
@ra9ra99
ان شاء الله  بيرجع
1",S
435,"Replying to 
@Dm__911
 @affa3456
 and 2 others
كلك نظر
1",S
436,"Replying to 
@Dm__911
 @affa3456
 and 2 others
ان شاء الله م يتقفل
1",S
437,"Replying to 
@Dm__911
 @affa3456
 and 2 others
كيف اقول  اجيك وحسابي موقف
1",S
438,"Replying to 
@Dm__911
 @affa3456
 and 2 others
غريب   يمكن عليه بلاغات واجد    افيدونا لوقف حسابي ايش اسوي  شكلي بكبه
1",S
439,"Replying to 
@Dm__911
 @affa3456
 and 2 others
ايه
2",S
440,"قومه رجله الي حاط الشاهي عليها
1
1",S
441,"Replying to 
@llll9_R
 @haalim___888
 and 
@ra9ra99
1",S
442,"Replying to 
@affa3456
 @haalim___888
 and 
@ra9ra99
سوا  صجه اعلاميه    والفضل يعود ل حالم
1",S
443,"Replying to 
@05B__05
 @haalim___888
 and 
@ra9ra99
هههههههههه مازد لقيته اختفى   لا حرام عليكم
1
1",S
444,"Replying to 
@__M4_M4
صح
1",S
445,"Replying to 
@fta___yam",S
